SupplyChainFlow,FacilityType,ShipToParty,ShipToName,Material,MaterialDescription,Order,Delivery,Agmd,MonthAgmd,QuantityInMT,TotalSalesValue,TotalCOGS,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,TotalTransportCost,SGA,IOC,ShipToCountry,SoldToName,ABCClass,Account,Segment,ProductGroup,ProductOrigin,Commodity,TotalS&D,GM,CBM,CBMAI,EBITAI
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200628736,200628736,2022-08-04,8,188.32,124762.0,144438.17245983935,0.0,0.0,0.0,0.0,17775.840263052698,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,-19676.17245983935,-19676.17245983935,-19676.17245983935,-37452.01272289205
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200632492,200632492,2022-09-02,9,165.4,112933.47,126858.93014473996,0.0,0.0,0.0,0.0,15612.383068760177,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,-13925.460144739962,-13925.460144739962,-13925.460144739962,-29537.84321350014
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200637148,200637148,2022-10-05,10,189.58,129936.24,145404.57059758043,0.0,0.0,0.0,0.0,17894.7737737337,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,-15468.330597580425,-15468.330597580425,-15468.330597580425,-33363.104371314126
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200641234,200641234,2022-11-03,11,165.72,122243.36,127104.36459242024,0.0,0.0,0.0,0.0,15642.588404806143,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,-4861.004592420242,-4861.004592420242,-4861.004592420242,-20503.592997226384
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200645615,200645615,2022-12-07,12,188.32,127773.24,144438.17245983935,0.0,0.0,0.0,0.0,17775.840263052698,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,-16664.932459839343,-16664.932459839343,-16664.932459839343,-34440.77272289204
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200649930,200649930,2023-01-09,1,164.66,115215.9,126291.36298447932,0.0,0.0,0.0,0.0,15542.533229153873,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,-11075.462984479323,-11075.462984479323,-11075.462984479323,-26617.996213633196
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200653652,200653652,2023-02-03,2,166.64,152012.34,127809.988629501,0.0,0.0,0.0,0.0,15729.428745938303,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,24202.351370499004,24202.351370499004,24202.351370499004,8472.9226245607
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200657604,200657604,2023-03-02,3,192.66,154613.5,147766.87715650303,0.0,0.0,0.0,0.0,18185.500133176152,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,6846.622843496967,6846.622843496967,6846.622843496967,-11338.877289679185
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200662667,200662667,2023-04-05,4,194.48,159996.75,149162.78557768455,0.0,0.0,0.0,0.0,18357.2929819376,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,10833.964422315446,10833.964422315446,10833.964422315446,-7523.328559622154
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200666324,200666324,2023-05-02,5,170.6,149935.22,130847.23991954436,0.0,0.0,0.0,0.0,16103.21977950717,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,19087.980080455643,19087.980080455643,19087.980080455643,2984.7603009484737
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200670921,200670921,2023-06-02,6,194.36,166912.48,149070.74765980447,0.0,0.0,0.0,0.0,18345.96598092036,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,17841.732340195536,17841.732340195536,17841.732340195536,-504.2336407248222
EU to EU Direct,Amsterdam - NL,2003943,MILEI GMBH,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,200676474,200676474,2023-07-06,7,170.8,145115.1,131000.63644934454,0.0,0.0,0.0,0.0,16122.098114535902,0.0,Germany,MILEI GMBH,B,MILEI GMBH,Smart Serve,Whey Fractions,Lithuania,Whey,0.0,14114.463550655462,14114.463550655462,14114.463550655462,-2007.6345638804396
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200668356,200668356,2023-05-23,5,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200670589,200670589,2023-06-02,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200670590,200670590,2023-06-08,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200671838,200671838,2023-06-23,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200671839,200671839,2023-06-26,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200671848,200671848,2023-06-27,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200671849,200671849,2023-06-28,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200671850,200671850,2023-06-29,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200671851,200671851,2023-06-30,6,20.16,102816.0,102809.5142486517,0.0,0.0,0.0,0.0,1902.936170896041,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,6.485751348300255,6.485751348300255,6.485751348300255,-1896.4504195477407
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,107766,AMF SMF42 210KG DRM,200671853,200671853,2023-06-30,6,11.76,59976.0,59972.21664504683,0.0,0.0,0.0,0.0,1110.046099689357,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,3.7833549531715107,3.7833549531715107,3.7833549531715107,-1106.2627447361856
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,115053,AMF K RU 25KG CTN FFMR,200674058,200674058,2023-06-27,6,21.6,81000.0,81509.81936281732,0.0,0.0,0.0,0.0,2038.860183102901,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,-509.8193628173176,-509.8193628173176,-509.8193628173176,-2548.6795459202185
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,115053,AMF K RU 25KG CTN FFMR,200674059,200674059,2023-06-27,6,21.6,81000.0,81509.81936281732,0.0,0.0,0.0,0.0,2038.860183102901,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,-509.8193628173176,-509.8193628173176,-509.8193628173176,-2548.6795459202185
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,115053,AMF K RU 25KG CTN FFMR,200674062,200674062,2023-06-28,6,21.6,81000.0,81509.81936281732,0.0,0.0,0.0,0.0,2038.860183102901,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,-509.8193628173176,-509.8193628173176,-509.8193628173176,-2548.6795459202185
NZ Direct EU,Amsterdam - NL,2004201,INTERFOOD BV,115053,AMF K RU 25KG CTN FFMR,200674064,200674064,2023-06-28,6,21.6,81000.0,81509.81936281732,0.0,0.0,0.0,0.0,2038.860183102901,0.0,Netherlands,INTERFOOD BV,A,Interfood,Semi Managed,Anhydrous Milkfat,New Zealand,AMF,0.0,-509.8193628173176,-509.8193628173176,-509.8193628173176,-2548.6795459202185
