FacilityType,SupplyChainFlow,ShipToParty,ShipToName,ABCClass,ParentName,ShipToCountry,Material,MaterialDescription,Commodity,ProductGroup,ProductOrigin,QuantityInMT,TotalSalesValue,TotalCOGS,GM,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,IOC,TotalTransportCost,CBM,SGA,CBMAI,EBITAI,Segment
Amsterdam - NL,EU to EU Direct,2003943,MILEI GMBH,B,MILEI GMBH,Germany,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,Whey,Whey Fractions,Lithuania,2151.54,1661449.6,1650193.8486312807,11255.751368719386,0,0,0,0,0,11255.751368719386,203087.46473857478,11255.751368719386,-191831.7133698554,Smart Serve
Amsterdam - NL,NZ Direct EU,2004201,INTERFOOD BV,A,Interfood,Netherlands,107766,AMF SMF42 210KG DRM,AMF,Anhydrous Milkfat,New Zealand,193.2,985320,985257.8448829121,62.15511708788108,0,0,0,0,0,62.15511708788108,18236.471637753726,62.15511708788108,-18174.316520665845,Semi Managed
Amsterdam - NL,NZ Direct EU,2004201,INTERFOOD BV,A,Interfood,Netherlands,115053,AMF K RU 25KG CTN FFMR,AMF,Anhydrous Milkfat,New Zealand,86.4,324000,326039.27745126927,-2039.2774512692704,0,0,0,0,0,-2039.2774512692704,8155.440732411604,-2039.2774512692704,-10194.718183680874,Semi Managed
Amsterdam - NL,NZ Direct EU,4016065,VDM BP FRANCE NEUVILLE,C,Vandemoortele,France,108046,Btr Lac Amx 25kgCTN,Butter,Butter-Lactic,New Zealand,22,121660,121660.96613007085,-0.9661300708539784,0,0,0,0,0,-0.9661300708539784,2076.616853160362,-0.9661300708539784,-2077.582983231216,Unknowned Segment
Daalimpex Harlingen - NL,EU to EU Direct,1051579,UHRENHOLT A/S,C,Uhrenholt,Denmark,121710,AWAR UHT CRM UHRENHOLT 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,21.295,75000.43,56330.43403700469,18669.9959629953,285.66345176034395,168.37009776456134,0,684.7576409260796,0,18215.962413470395,2010.070722184087,17531.204772544315,15521.134050360228,Smart Serve
Daalimpex Harlingen - NL,EU to EU Direct,2002317,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,120436,AWAR UHT CRM EX WHIP ANC 12X1L CTN KR LM,Cons. UHT,UHT Cream,Netherlands,0.024,0,52.827605101422975,-52.827605101422975,0.2571355933860733,0.18975733018781274,0,0.4748260596052676,0,-53.27449802499686,2.2654002034476677,-53.74932408460213,-56.0147242880498,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2002317,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,120994,AWAR UHT CRM CHF CLA CN 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.218,0,479.85074633792533,-479.85074633792533,2.047522236755659,1.7236290825392988,0,2.8798077241238182,0,-483.62189765722025,20.577385181316316,-486.50170538134404,-507.0790905626603,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2002317,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121240,AWAR CUL CRM 12X1L,Cons. UHT,UHT Cream,Netherlands,0.012,0,26.413802550711488,-26.413802550711488,0.16097494346673524,0.09487866509390637,0,0.228431560927761,0,-26.669656159272126,1.1327001017238338,-26.898087720199886,-28.03078782192372,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2002317,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121333,AWAR UHT CRM EX YIELD LATAM 12X1L CTN,Cons. UHT,UHT Cream,Netherlands,0.012,0,26.413802550711488,-26.413802550711488,0.1099293146040708,0.09487866509390637,0,0.20050492930344763,0,-26.618610530409462,1.1327001017238338,-26.81911545971291,-27.951815561436746,Fonterra
Daalimpex Harlingen - NL,EU to EU Direct,2002317,FONTERRA (EUROPE) COOPERATIE U,C,Fonterra,Netherlands,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,Cons. UHT,UHT Cream,Netherlands,0.219,0,361.77173697688806,-361.77173697688806,2.9209227026585047,1.7315356379637912,0,11.707243469313648,0,-366.4241953175104,20.671776856459967,-378.13143878682405,-398.80321564328403,Fonterra
