FacilityType,SupplyChainFlow,ShipToParty,ShipToCountry,ShipToName,SoldToName,ABCClass,Account,Segment,Material,MaterialDescription,ProductGroup,ProductOrigin,Commodity,QuantityInMT,TotalSalesValue,TotalCOGS,GM,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,IOC,TotalTransportCost,CBM,TotalS&D,SGA,PTOC,PTOC_60,PTOC_30,PTOC_30_8,PTOC_30_notcharged,CBMAI,EBITAI
Amsterdam - NL,EU to EU Direct,2003943,Germany,MILEI GMBH,MILEI GMBH,B,MILEI GMBH,Smart Serve,121179,ROKI WHEYFRAC LF ELUATE 500KG ACT,Whey Fractions,Lithuania,Whey,2151.54,1661449.6,1650193.8486312807,11255.751368719386,0,0,0,0,0,11255.751368719386,0,203087.46473857478,17069.687671232878,17069.687671232878,17069.687671232878,0,0,11255.751368719386,-191831.7134
Amsterdam - NL,NZ Direct EU,2004201,Netherlands,INTERFOOD BV,INTERFOOD BV,A,Interfood,Semi Managed,107766,AMF SMF42 210KG DRM,Anhydrous Milkfat,New Zealand,AMF,193.2,985320,985257.8448829121,62.15511708788108,0,0,0,0,0,62.15511708788108,0,18236.471637753726,25307.876712328765,20246.301369863013,10123.150684931506,9718.224657534245,5466.501369863014,62.15511708788108,-18174.31652
Amsterdam - NL,NZ Direct EU,2004201,Netherlands,INTERFOOD BV,INTERFOOD BV,A,Interfood,Semi Managed,115053,AMF K RU 25KG CTN FFMR,Anhydrous Milkfat,New Zealand,AMF,86.4,324000,326039.27745126927,-2039.277451,0,0,0,0,0,-2039.277451,0,8155.440732411604,8321.917808219177,6657.534246575342,3328.767123287671,3195.616438356164,1797.5342465753422,-2039.277451,-10194.71818
Amsterdam - NL,NZ Direct EU,4016065,France,VDM BP FRANCE NEUVILLE,VANDEMOORTELE NV,C,Vandemoortele,Smart Serve,108046,Btr Lac Amx 25kgCTN,Butter-Lactic,New Zealand,Butter,22,121660,121660.96613007085,-0.966130071,0,0,0,0,0,-0.966130071,0,2076.616853160362,1249.931506849315,1249.931506849315,1249.931506849315,0,0,-0.966130071,-2077.582983
Daalimpex Harlingen - NL,EU to EU Direct,1051579,Denmark,UHRENHOLT A/S,UHRENHOLT A/S,C,Uhrenholt,Smart Serve,121710,AWAR UHT CRM UHRENHOLT 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,21.295,75000.43,56330.43403700469,18669.99596,285.66345176034395,168.37009776456134,0,684.7576409260796,0,18215.962413470395,454.0335495249053,2010.070722184087,770.5523630136985,770.5523630136985,770.5523630136985,0,0,17531.204772544315,15521.134050360228
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,120436,AWAR UHT CRM EX WHIP ANC 12X1L CTN KR LM,UHT Cream,Netherlands,Cons. UHT,0.024,0,52.827605101422975,-52.8276051,0.2571355933860733,0.18975733018781274,0,0.4748260596052676,0,-53.27449802,0.446892924,2.2654002034476677,0,0,0,0,0,-53.74932408,-56.01472429
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,120994,AWAR UHT CRM CHF CLA CN 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.218,0,479.85074633792533,-479.8507463,2.047522236755659,1.7236290825392988,0,2.8798077241238182,0,-483.6218977,3.7711513192949577,20.577385181316316,0,0,0,0,0,-486.5017054,-507.0790906
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121240,AWAR CUL CRM 12X1L,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.16097494346673524,0.094878665,0,0.228431561,0,-26.66965616,0.2558536085606416,1.1327001017238338,0,0,0,0,0,-26.89808772,-28.03078782
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121333,AWAR UHT CRM EX YIELD LATAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.1099293146040708,0.094878665,0,0.20050492930344763,0,-26.61861053,0.20480797969797715,1.1327001017238338,0,0,0,0,0,-26.81911546,-27.95181556
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,UHT Cream,Netherlands,Cons. UHT,0.219,0,361.77173697688806,-361.771737,2.9209227026585047,1.7315356379637912,0,11.707243469313648,0,-366.4241953,4.652458340622296,20.671776856459967,0,0,0,0,0,-378.1314388,-398.8032156
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121628,AWAR UHT CRM CUL CRM EU 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.036000000000000004,0,83.04401330922039,-83.04401331,0.48292483040020573,0.2846359952817191,0,4.705145931179146,0,-83.81157413,0.7675608256819249,3.3981003051715017,0,0,0,0,0,-88.51672007,-91.91482037
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121679,AWAR UHT CHF CLA EU 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.084,0,209.35316609534814,-209.3531661,1.1268246042671468,0.6641506556573445,0,4.790890795867235,0,-211.1441414,1.7909752599244912,7.928900712066837,0,0,0,0,0,-215.9350322,-223.8639329
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121691,AWAR TR UHT CRM CHF CLA SAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,8.306415550577446,-8.306415551,0.12856779669303664,0.094878665,0,6.509455154712479,0,-8.529862012,0.223446462,1.1327001017238338,0,0,0,0,0,-15.03931717,-16.17201727
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121719,TR AWAR UHT CRM EX WHIP SAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.024,0,52.827605101422975,-52.8276051,0.2571355933860733,0.18975733018781274,0,30.62861698959925,0,-53.27449802,0.446892924,2.2654002034476677,0,0,0,0,0,-83.90311501,-86.16851522
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,121742,AWAR UHT CRM CHF CLA LATAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.096,0,211.3104204056919,-211.3104204,0.9016611684795562,0.759029321,0,2.3331345734828117,0,-212.9711109,1.6606904892308072,9.061600814,0,0,0,0,0,-215.3042455,-224.3658463
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,122064,AWAR UHT CKG CRM DESS 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.204,0,449.03464336209527,-449.0346434,1.8984370532918362,1.612937306596408,0,1.2544618900984739,0,-452.5460177,3.5113743598882445,19.255901729305176,0,0,0,0,0,-453.8004796,-473.0563813
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,122070,AWAR UHT CRM CHF CLA CN AFP 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.119,0,261.9368752945556,-261.9368753,1.1176841567611164,0.9408800955145713,0,2.900499756089211,0,-263.9954395,2.058564252275688,11.232609342094685,0,0,0,0,0,-266.8959393,-278.1285486
Daalimpex Harlingen - NL,EU to EU Direct,2002317,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA (EUROPE) COOPERATIE UA,C,Fonterra,Fonterra,122338,AWAR UHT CKG CRM EX YIELD LATAM 12X1L,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.1099293146040708,0.094878665,0,0.28470152703309015,0,-26.61861053,0.20480797969797715,1.1327001017238338,0,0,0,0,0,-26.90331206,-28.03601216
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,120476,AWAR UHT CRM EX WHIP ANC 12X1L CTN SEA,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.12856779669303664,0.094878665,0,2102.042154344455,0,-26.63724901,0.223446462,1.1327001017238338,0,0,0,0,0,-2128.679403,-2129.812103
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,120994,AWAR UHT CRM CHF CLA CN 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.121,0,266.33917571967413,-266.3391757,1.1364687644377738,0.9566932063635558,0,1.598425388160468,0,-268.4323377,2.0931619708013294,11.42139269238199,0,0,0,0,0,-270.0307631,-281.4521558
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121036,AWAR UHT CRM EX YIELD EU 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.16005055904978108,0.094878665,0,384.7779891,0,-26.66873177,0.25492922414368746,1.1327001017238338,0,0,0,0,0,-411.4467209,-412.579421
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121104,AWAR UHT CRM DESS 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.157,0,71.67999456110095,-71.67999456,1.461052045915776,1.241329201645275,0,2.689075820008273,0,-74.38237581,2.702381247561051,14.819492997553493,0,0,0,0,0,-77.07145163,-91.89094463
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121156,AWAR UHT CRM EX YIELD SA 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.12801944322945086,0.094878665,0,0.26517961938370194,0,-26.63670066,0.2228981083233572,1.1327001017238338,0,0,0,0,0,-26.90188028,-28.03458038
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121240,AWAR CUL CRM 12X1L,UHT Cream,Netherlands,Cons. UHT,0.048,0,105.65521020284595,-105.6552102,0.643899774,0.3795146603756255,0,0.913726244,0,-106.6786246,1.0234144342425664,4.530800406895335,0,0,0,0,0,-107.5923509,-112.1231513
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121250,AWAR UHT CRM EX YIELD MY 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,4.787575683243289,-4.787575683,0.12801944322945086,0.094878665,0,0.21176941878458957,0,-5.010473792,0.2228981083233572,1.1327001017238338,0,0,0,0,0,-5.22224321,-6.354943312
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121333,AWAR UHT CRM EX YIELD LATAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.037,0,81.44255786469375,-81.44255786,0.3389487200292182,0.29254255070621127,0,0.6182235320189635,0,-82.07404914,0.6314912707354294,3.492491980315154,0,0,0,0,0,-82.69227267,-86.18476465
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121480,AWAR UHT CRM CHF CLA EU 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.024,0,17.67120973756906,-17.67120974,0.3219498869334705,0.18975733018781274,0,3.4667376103525287,0,-18.18291695,0.5117072171212832,2.2654002034476677,0,0,0,0,0,-21.64965457,-23.91505477
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121582,AWAR UHT CRM EX YIELD 12X1L CTN EU,UHT Cream,Netherlands,Cons. UHT,0.097,0,169.97487622447335,-169.9748762,1.2937420189857305,0.7669358761757431,0,5.185400075449424,0,-172.0355541,2.0606778951614735,9.155992488934324,0,0,0,0,0,-177.2209542,-186.3769467
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121628,AWAR UHT CRM CUL CRM EU 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.048,0,119.22926611700294,-119.2292661,0.643899774,0.3795146603756255,0,6.2735279082388615,0,-120.2526806,1.0234144342425664,4.530800406895335,0,0,0,0,0,-126.5262085,-131.0570089
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121679,AWAR UHT CHF CLA EU 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.096,0,227.6584607432683,-227.6584607,1.287799547733882,0.759029321,0,5.475303766705411,0,-229.7052896,2.046828868485133,9.061600814,0,0,0,0,0,-235.1805934,-244.2421942
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121685,AWAR UHT CRM CHF CLA MDE 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.11270764605994453,0.094878665,0,0.30820539103989597,0,-26.62138886,0.2075863111538509,1.1327001017238338,0,0,0,0,0,-26.92959425,-28.06229435
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121691,AWAR TR UHT CRM CHF CLA SAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,8.673673748362477,-8.673673748,0.12856779669303664,0.094878665,0,6.509455154712479,0,-8.89712021,0.223446462,1.1327001017238338,0,0,0,0,0,-15.40657536,-16.53927547
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121694,AWAR TR UHT CRM EX YIELD SAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.086,0,189.2989183,-189.2989183,0.9214025429667626,0.6799637665063288,0,25.026019671504635,0,-190.9002846,1.6013663094730914,8.117684062354142,0,0,0,0,0,-215.9263043,-224.0439883
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121710,AWAR UHT CRM UHRENHOLT 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,33.675932803086674,-33.6759328,0.16097494346673524,0.094878665,0,0.3858695323368375,0,-33.93178641,0.2558536085606416,1.1327001017238338,0,0,0,0,0,-34.31765594,-35.45035605
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121719,TR AWAR UHT CRM EX WHIP SAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.157,0,345.58058337180864,-345.5805834,1.6820953400672296,1.241329201645275,0,200.36220280696176,0,-348.5040079,2.923424541712505,14.819492997553493,0,0,0,0,0,-548.8662107,-563.6857037
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,121742,AWAR UHT CRM CHF CLA LATAM 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.11270764605994453,0.094878665,0,0.29164182168535147,0,-26.62138886,0.2075863111538509,1.1327001017238338,0,0,0,0,0,-26.91303068,-28.04573079
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,122034,AWAR UHT CRM CHF CLA E-MART 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.024,0,52.827605101422975,-52.8276051,0.22541529211988906,0.18975733018781274,0,0.8569382904113529,0,-53.24277772,0.4151726223077018,2.2654002034476677,0,0,0,0,0,-54.09971601,-56.36511622
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,122064,AWAR UHT CKG CRM DESS 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.084,0,184.8966178549804,-184.8966179,0.7817093748848738,0.6641506556573444,0,0.5165431312170187,0,-186.3424779,1.4458600305422182,7.928900712066836,0,0,0,0,0,-186.859021,-194.7879217
Daalimpex Harlingen - NL,EU to EU Direct,2008455,Netherlands,FONTERRA (EUROPE) COOPERATIE U,FONTERRA INGREDIENTS LTD,C,Fonterra,Fonterra,122070,AWAR UHT CRM CHF CLA CN AFP 12X1L CTN,UHT Cream,Netherlands,Cons. UHT,0.012,0,26.413802550711488,-26.41380255,0.11270764605994453,0.094878665,0,0.2924873703619373,0,-26.62138886,0.2075863111538509,1.1327001017238338,0,0,0,0,0,-26.91387623,-28.04657633
