SourceData,Material,Commodity,From,To,Quantity,Account
1,100714 - MPC85 4851 LL K ABT 20KG PPK,MPC,Plant - NZ,Hamburg Port - DE,76.4,NA
1,100714 - MPC85 4851 LL K ABT 20KG PPK,MPC,Plant - NZ,Rotterdam Port - NL,1183.18,NA
1,100733 - MPC85 4861 CWS K 20kg PPK,MPC,Plant - NZ,Rotterdam Port - NL,134.38,NA
1,103791 - MPC85 4855 K EU 20kg MBG,MPC,Plant - NZ,Rotterdam Port - NL,1717.02,NA
1,104504 - NACTE 1808 20% R150UM ABT 20KG MBG,Caseinate,Plant - NZ,Hamburg Port - DE,20.16,NA
1,104504 - NACTE 1808 20% R150UM ABT 20KG MBG,Caseinate,Plant - NZ,Rotterdam Port - NL,459.76,NA
1,104517 - CaCte 3800 Sstab 20kg MBG,Caseinate,Plant - NZ,Rotterdam Port - NL,44.8,NA
1,104527 - CACTE 3808 SSTAB ABT 20KG MBG,Caseinate,Plant - NZ,Rotterdam Port - NL,109.94,NA
1,104528 - CaCte 3851 Sstab Disp EUR 20kg MBG,Caseinate,Plant - NZ,Rotterdam Port - NL,21.88,NA
1,104613 - ACas 7417 Min 30# all-in 10% 25kg MBG,Casein,Plant - NZ,Hamburg Port - DE,152.6,NA
1,104613 - ACas 7417 Min 30# all-in 10% 25kg MBG,Casein,Plant - NZ,Rotterdam Port - NL,229.55,NA
1,104642 - WPI 895 IX 25KG MBG,WPC,Plant - NZ,Rotterdam Port - NL,151.425,NA
1,104650 - WHEY HYD 821 HA 15KG MBG,Whey,Plant - NZ,Rotterdam Port - NL,0.72,NA
1,104668 - MLKMIN 997 UHT 25KG MBG,Whey,Plant - NZ,Rotterdam Port - NL,583.65,NA
1,109646 - MPC85 4861 CWS K US ABT 20KG PPK,MPC,Plant - NZ,Hamburg Port - DE,172.74,NA
1,109646 - MPC85 4861 CWS K US ABT 20KG PPK,MPC,Plant - NZ,Rotterdam Port - NL,556.74,NA
1,109717 - WHEY HYD 821 ABT 15KG MBG,Whey,Plant - NZ,Rotterdam Port - NL,0.72,NA
1,110170 - CaCte 3808 Sstab ABT 20kg MBG,Caseinate,Plant - NZ,Hamburg Port - DE,21.46,NA
1,110170 - CaCte 3808 Sstab ABT 20kg MBG,Caseinate,Plant - NZ,Rotterdam Port - NL,88.62,NA
1,112284 - WPC80 CHS 550 25KG MBG (FUNCTIONAL),WPC,Plant - NZ,Rotterdam Port - NL,345.075,NA
1,112960 - MPC85 4882 MEDAPP HAL/K 20KG MBG,MPC,Plant - NZ,Rotterdam Port - NL,192,NA
1,113056 - WPI 895 IX K EU FRC 25KG MBG,WPC,Plant - NZ,Rotterdam Port - NL,11.3,NA
