,Unnamed: 0,ShipToParty,SupplyChainFlow,Agmd,ProductOrigin,Account,ProductGroup,MaterialDescription,ABCClass,Continent,Segment,FacilityType,Material,FY,ShipToName,Month,ShipToCountry,Commodity,SoldToName,QuantityInMT,TotalSalesValue,TotalCOGS,TotalStorageCostPerYear,TotalHandlingCost,TotalDemurrageCost,TotalTransportCost,SGA,IOC,TotalS&D,GM,CBM,CBMAI,EBITAI
0,0,1003558,NZ Direct Export,2022-08-29,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,08-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,47.525,183912.24033,142458.06747368653,0.0,0.0,0.0,0.0,4485.9643612021,0.0,0.0,41454.17285631347,41454.17285631347,41454.17285631347,36968.208495111365
1,1,1003558,NZ Direct Export,2022-08-30,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,08-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,48.0,185750.39952,143881.898763534,0.0,0.0,0.0,0.0,4530.800406895335,0.0,0.0,41868.50075646599,41868.50075646599,41868.50075646599,37337.70034957065
2,2,1003558,NZ Direct Export,2022-08-31,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,08-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,16.8,97063.87971,97909.44522083404,0.0,0.0,0.0,0.0,1585.7801424133677,0.0,0.0,-845.5655108340434,-845.5655108340434,-845.5655108340434,-2431.345653247411
3,3,1003558,NZ Direct Export,2022-09-01,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,16.8,99129.06864,97909.44522083404,0.0,0.0,0.0,0.0,1585.7801424133677,0.0,0.0,1219.6234191659605,1219.6234191659605,1219.6234191659605,-366.1567232474072
4,4,1003558,NZ Direct Export,2022-09-01,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,47.9,189307.31904,143582.14480777664,0.0,0.0,0.0,0.0,4521.36123938097,0.0,0.0,45725.17423222335,45725.17423222335,45725.17423222335,41203.81299284239
5,5,1003558,NZ Direct Export,2022-09-08,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,66.78,411381.91584,389190.0447528153,0.0,0.0,0.0,0.0,6303.476066093136,0.0,0.0,22191.87108718471,22191.87108718471,22191.87108718471,15888.395021091575
6,6,1003558,NZ Direct Export,2022-09-13,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,48.0,171540.6336,143881.898763534,0.0,0.0,0.0,0.0,4530.800406895335,0.0,0.0,27658.734836466007,27658.734836466007,27658.734836466007,23127.93442957067
7,7,1003558,NZ Direct Export,2022-09-19,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,16.8,96454.44144,97909.44522083404,0.0,0.0,0.0,0.0,1585.7801424133677,0.0,0.0,-1455.003780834042,-1455.003780834042,-1455.003780834042,-3040.78392324741
8,8,1003558,NZ Direct Export,2022-09-20,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,16.8,96454.45152,97909.44522083404,0.0,0.0,0.0,0.0,1585.7801424133677,0.0,0.0,-1454.9937008340348,-1454.9937008340348,-1454.9937008340348,-3040.7738432474025
9,9,1003558,NZ Direct Export,2022-09-28,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,47.5,169753.752,142383.12898474722,0.0,0.0,0.0,0.0,4483.604569323509,0.0,0.0,27370.6230152528,27370.6230152528,27370.6230152528,22887.01844592929
10,10,1003558,NZ Direct Export,2022-09-29,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,09-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,16.8,96454.45152,97909.44522083404,0.0,0.0,0.0,0.0,1585.7801424133677,0.0,0.0,-1454.9937008340348,-1454.9937008340348,-1454.9937008340348,-3040.7738432474025
11,11,1003558,NZ Direct Export,2022-10-04,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,10-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,79.725,287462.18934,238978.84122755728,0.0,0.0,0.0,0.0,7525.376300827721,0.0,0.0,48483.34811244273,48483.34811244273,48483.34811244273,40957.971811615
12,12,1003558,NZ Direct Export,2022-10-14,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,10-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,50.400000000000006,326290.53744,293728.3356625021,0.0,0.0,0.0,0.0,4757.340427240103,0.0,0.0,32562.201777497903,32562.201777497903,32562.201777497903,27804.8613502578
13,13,1003558,NZ Direct Export,2022-10-17,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,10-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,48.0,181248.9264,143881.898763534,0.0,0.0,0.0,0.0,4530.800406895335,0.0,0.0,37367.02763646599,37367.02763646599,37367.02763646599,32836.22722957065
14,14,1003558,NZ Direct Export,2022-10-19,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,10-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,49.56,320852.36385,288832.8634014604,0.0,0.0,0.0,0.0,4678.051420119435,0.0,0.0,32019.50044853961,32019.50044853961,32019.50044853961,27341.449028420167
15,15,1003558,NZ Direct Export,2022-10-19,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,10-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,47.15,178039.31508,141333.99013959643,0.0,0.0,0.0,0.0,4450.56748302323,0.0,0.0,36705.32494040357,36705.32494040357,36705.32494040357,32254.757457380343
16,16,1003558,NZ Direct Export,2022-11-01,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,11-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,50.400000000000006,293856.07608,293728.3356625021,0.0,0.0,0.0,0.0,4757.340427240103,0.0,0.0,127.7404174978874,127.7404174978874,127.7404174978874,-4629.600009742216
17,17,1003558,NZ Direct Export,2022-11-04,New Zealand,Key Account,Anhydrous Milkfat,AMF PREM K/HAL/MUI 210KG DRM,A,Asia,Key Account,Plant - NZ,110645,2023,DUTCH LADY MILK INDUSTRIES BER,11-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,50.400000000000006,314845.48156,259010.44321134017,0.0,0.0,0.0,0.0,4757.340427240103,0.0,0.0,55835.03834865984,55835.03834865984,55835.03834865984,51077.69792141973
18,18,1003558,NZ Direct Export,2022-11-09,New Zealand,Key Account,Anhydrous Milkfat,AMF PREM K/HAL/MUI 210KG DRM,A,Asia,Key Account,Plant - NZ,110645,2023,DUTCH LADY MILK INDUSTRIES BER,11-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,50.400000000000006,314845.48156,259010.44321134017,0.0,0.0,0.0,0.0,4757.340427240103,0.0,0.0,55835.03834865984,55835.03834865984,55835.03834865984,51077.69792141973
19,19,1003558,NZ Direct Export,2022-11-14,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,11-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,33.6,195904.05072,195818.89044166807,0.0,0.0,0.0,0.0,3171.560284826736,0.0,0.0,85.16027833192493,85.16027833192493,85.16027833192493,-3086.4000064948104
20,20,1003558,NZ Direct Export,2022-11-21,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,11-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,16.0,55617.80896,47960.632921178,0.0,0.0,0.0,0.0,1510.266802298445,0.0,0.0,7657.176038821999,7657.176038821999,7657.176038821999,6146.909236523554
21,21,1003558,NZ Direct Export,2022-11-24,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,11-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,63.925,227640.58204,191617.716217894,0.0,0.0,0.0,0.0,6033.987833558007,0.0,0.0,36022.86582210601,36022.86582210601,36022.86582210601,29988.877988548003
22,22,1003558,NZ Direct Export,2022-11-30,New Zealand,Key Account,Anhydrous Milkfat,gDT AMF Prem 210kg DR,A,Asia,Key Account,Plant - NZ,110739,2023,DUTCH LADY MILK INDUSTRIES BER,11-2022,Malaysia,AMF,FRIESLANDCAMPINA NEDERLAND BV,67.2,392471.97272,391637.78088333615,0.0,0.0,0.0,0.0,6343.120569653471,0.0,0.0,834.1918366638711,834.1918366638711,834.1918366638711,-5508.9287329896
23,23,1003558,NZ Direct Export,2022-12-07,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,12-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,32.0,107044.4592,95921.265842356,0.0,0.0,0.0,0.0,3020.53360459689,0.0,0.0,11123.193357643991,11123.193357643991,11123.193357643991,8102.659753047101
24,24,1003558,NZ Direct Export,2022-12-10,New Zealand,Key Account,Buttermilk Powder,BMP REM/UHT 25kgMBG RM,A,Asia,Key Account,Plant - NZ,111522,2023,DUTCH LADY MILK INDUSTRIES BER,12-2022,Malaysia,BMP,FRIESLANDCAMPINA NEDERLAND BV,18.0,60212.5083,53955.71203632525,0.0,0.0,0.0,0.0,1699.0501525857508,0.0,0.0,6256.796263674754,6256.796263674754,6256.796263674754,4557.746111089004
