TransferID,Date,OriginFacilityID,DestinationFacilityID,ProductID,TransferPallets,SupplyChainFlow
STO00001,2024-01-12,F03,F02,P001,66.0,EU to EU Internal
STO00002,2024-01-24,F03,F02,P002,42.0,EU to EU Internal
STO00003,2024-01-20,F03,F02,P003,24.0,EU to EU Internal
STO00004,2024-01-21,F03,F02,P004,61.0,EU to EU Internal
STO00005,2024-01-11,F03,F02,P005,78.0,EU to EU Internal
STO00006,2024-01-20,F03,F02,P006,3.0,EU to EU Internal
STO00007,2024-01-23,F03,F02,P008,32.0,EU to EU Internal
STO00008,2024-01-12,F03,F02,P009,12.0,EU to EU Internal
STO00009,2024-01-23,F03,F02,P010,77.0,EU to EU Internal
STO00010,2024-01-23,F03,F02,P011,23.0,EU to EU Internal
STO00011,2024-01-18,F03,F02,P013,8.0,EU to EU Internal
STO00012,2024-01-15,F03,F02,P014,102.0,EU to EU Internal
STO00013,2024-01-16,F03,F02,P015,16.0,EU to EU Internal
STO00014,2024-01-19,F03,F02,P016,62.0,EU to EU Internal
STO00015,2024-01-22,F03,F02,P017,11.0,EU to EU Internal
STO00016,2024-01-14,F03,F02,P018,69.0,EU to EU Internal
STO00017,2024-01-24,F03,F02,P019,132.0,EU to EU Internal
STO00018,2024-01-13,F03,F02,P020,32.0,EU to EU Internal
STO00019,2024-01-19,F03,F02,P021,36.0,EU to EU Internal
STO00020,2024-01-21,F03,F02,P022,21.0,EU to EU Internal
STO00021,2024-01-17,F03,F02,P023,33.0,EU to EU Internal
STO00022,2024-01-21,F03,F02,P024,35.0,EU to EU Internal
STO00023,2024-01-24,F03,F02,P026,21.0,EU to EU Internal
STO00024,2024-01-19,F03,F02,P027,78.0,EU to EU Internal
STO00025,2024-01-21,F03,F02,P028,64.0,EU to EU Internal
STO00026,2024-01-17,F03,F02,P029,57.0,EU to EU Internal
STO00027,2024-01-22,F03,F02,P030,10.0,EU to EU Internal
STO00028,2024-01-17,F03,F02,P031,233.0,EU to EU Internal
STO00029,2024-01-16,F03,F02,P032,8.0,EU to EU Internal
STO00030,2024-01-21,F03,F02,P033,22.0,EU to EU Internal
STO00031,2024-01-20,F03,F02,P034,45.0,EU to EU Internal
STO00032,2024-01-17,F03,F02,P035,23.0,EU to EU Internal
STO00033,2024-01-21,F03,F02,P036,53.0,EU to EU Internal
STO00034,2024-01-11,F03,F02,P037,35.0,EU to EU Internal
STO00035,2024-01-12,F03,F02,P038,93.0,EU to EU Internal
STO00036,2024-01-17,F03,F02,P039,12.0,EU to EU Internal
STO00037,2024-01-21,F03,F02,P040,33.0,EU to EU Internal
STO00038,2024-01-16,F03,F02,P041,16.0,EU to EU Internal
STO00039,2024-01-24,F03,F02,P042,79.0,EU to EU Internal
STO00040,2024-01-11,F03,F02,P043,140.0,EU to EU Internal
STO00041,2024-01-19,F03,F02,P044,14.0,EU to EU Internal
STO00042,2024-01-18,F03,F02,P045,56.0,EU to EU Internal
STO00043,2024-01-24,F03,F02,P046,25.0,EU to EU Internal
STO00044,2024-01-24,F03,F02,P047,148.0,EU to EU Internal
STO00045,2024-01-11,F03,F02,P048,35.0,EU to EU Internal
STO00046,2024-01-18,F03,F02,P049,20.0,EU to EU Internal
STO00047,2024-01-24,F03,F02,P050,31.0,EU to EU Internal
STO00048,2024-01-19,F03,F02,P051,47.0,EU to EU Internal
STO00049,2024-01-11,F03,F02,P052,20.0,EU to EU Internal
STO00050,2024-01-23,F03,F02,P053,21.0,EU to EU Internal
STO00051,2024-01-14,F03,F02,P054,22.0,EU to EU Internal
STO00052,2024-01-12,F03,F02,P055,11.0,EU to EU Internal
STO00053,2024-01-17,F03,F02,P056,102.0,EU to EU Internal
STO00054,2024-01-18,F03,F02,P057,97.0,EU to EU Internal
STO00055,2024-01-11,F03,F02,P058,37.0,EU to EU Internal
STO00056,2024-01-20,F03,F02,P059,59.0,EU to EU Internal
STO00057,2024-01-13,F03,F02,P060,26.0,EU to EU Internal
STO00058,2024-01-19,F03,F02,P061,64.0,EU to EU Internal
STO00059,2024-01-18,F03,F02,P062,38.0,EU to EU Internal
STO00060,2024-01-12,F03,F02,P063,115.0,EU to EU Internal
STO00061,2024-01-14,F03,F02,P064,31.0,EU to EU Internal
STO00062,2024-01-14,F03,F02,P065,92.0,EU to EU Internal
STO00063,2024-01-18,F03,F02,P067,4.0,EU to EU Internal
STO00064,2024-01-16,F03,F02,P068,22.0,EU to EU Internal
STO00065,2024-01-21,F03,F02,P069,73.0,EU to EU Internal
STO00066,2024-01-17,F03,F02,P070,99.0,EU to EU Internal
STO00067,2024-01-12,F03,F02,P071,47.0,EU to EU Internal
STO00068,2024-01-13,F03,F02,P072,3.0,EU to EU Internal
STO00069,2024-01-19,F03,F02,P074,14.0,EU to EU Internal
STO00070,2024-01-14,F03,F02,P075,26.0,EU to EU Internal
STO00071,2024-01-14,F03,F02,P076,41.0,EU to EU Internal
STO00072,2024-01-24,F03,F02,P077,109.0,EU to EU Internal
STO00073,2024-01-22,F03,F02,P079,64.0,EU to EU Internal
STO00074,2024-01-13,F03,F02,P080,8.0,EU to EU Internal
STO00075,2024-01-14,F03,F02,P081,77.0,EU to EU Internal
STO00076,2024-01-20,F03,F02,P082,27.0,EU to EU Internal
STO00077,2024-01-12,F03,F02,P083,18.0,EU to EU Internal
STO00078,2024-01-24,F03,F02,P084,10.0,EU to EU Internal
STO00079,2024-01-14,F03,F02,P085,58.0,EU to EU Internal
STO00080,2024-01-14,F03,F02,P086,19.0,EU to EU Internal
STO00081,2024-01-18,F03,F02,P087,71.0,EU to EU Internal
STO00082,2024-01-21,F03,F02,P088,44.0,EU to EU Internal
STO00083,2024-01-13,F03,F02,P089,73.0,EU to EU Internal
STO00084,2024-01-13,F03,F02,P091,24.0,EU to EU Internal
STO00085,2024-01-18,F03,F02,P092,56.0,EU to EU Internal
STO00086,2024-01-13,F03,F02,P093,43.0,EU to EU Internal
