Date,FacilityID,ProductID,VolumeInPallet
2024-01-07,F01,P001,83
2024-01-07,F01,P002,272
2024-01-07,F01,P005,6
2024-01-07,F01,P006,12
2024-01-07,F01,P007,427
2024-01-07,F01,P008,394
2024-01-07,F01,P009,145
2024-01-07,F01,P010,43
2024-01-07,F01,P011,147
2024-01-07,F01,P012,295
2024-01-07,F01,P013,23
2024-01-07,F01,P014,114
2024-01-07,F01,P015,82
2024-01-07,F01,P016,88
2024-01-07,F01,P017,44
2024-01-07,F01,P018,393
2024-01-07,F01,P019,158
2024-01-07,F01,P020,71
2024-01-07,F01,P021,145
2024-01-07,F01,P022,19
2024-01-07,F01,P023,103
2024-01-07,F01,P024,432
2024-01-07,F01,P025,198
2024-01-07,F01,P026,25
2024-01-07,F01,P027,53
2024-01-07,F01,P028,142
2024-01-07,F01,P029,310
2024-01-07,F01,P030,178
2024-01-07,F01,P031,188
2024-01-07,F01,P032,63
2024-01-07,F01,P033,153
2024-01-07,F01,P034,74
2024-01-07,F01,P036,147
2024-01-07,F01,P037,6
2024-01-07,F01,P039,592
2024-01-07,F01,P040,274
2024-01-07,F01,P041,240
2024-01-07,F01,P042,45
2024-01-07,F01,P043,101
2024-01-07,F01,P044,90
2024-01-07,F01,P045,54
2024-01-07,F01,P046,49
2024-01-07,F01,P048,390
2024-01-07,F01,P049,58
2024-01-07,F01,P050,24
2024-01-07,F01,P051,189
2024-01-07,F01,P053,141
2024-01-07,F01,P055,331
2024-01-07,F01,P058,40
2024-01-07,F01,P059,43
2024-01-07,F01,P060,120
2024-01-07,F01,P061,189
2024-01-07,F01,P062,108
2024-01-07,F01,P063,146
2024-01-07,F01,P064,62
2024-01-07,F01,P065,194
2024-01-07,F01,P066,14
2024-01-07,F01,P067,189
2024-01-07,F01,P068,140
2024-01-07,F01,P069,175
2024-01-07,F01,P070,67
2024-01-07,F01,P071,298
2024-01-07,F01,P072,215
2024-01-07,F01,P074,104
2024-01-07,F01,P075,39
2024-01-07,F01,P076,29
2024-01-07,F01,P077,167
2024-01-07,F01,P078,234
2024-01-07,F01,P079,60
2024-01-07,F01,P080,13
2024-01-07,F01,P081,30
2024-01-07,F01,P083,20
2024-01-07,F01,P085,719
2024-01-07,F01,P086,138
2024-01-07,F01,P088,634
2024-01-07,F01,P089,71
2024-01-07,F01,P091,114
2024-01-07,F01,P092,20
2024-01-07,F01,P093,429
2024-01-07,F01,P094,33
2024-01-07,F01,P095,123
2024-01-07,F01,P096,173
2024-01-07,F01,P097,116
2024-01-07,F01,P098,254
2024-01-07,F01,P099,16
2024-01-07,F01,P100,23
2024-01-07,F02,P001,56
2024-01-07,F02,P002,68
2024-01-07,F02,P004,32
2024-01-07,F02,P005,96
2024-01-07,F02,P008,67
2024-01-07,F02,P010,25
2024-01-07,F02,P011,10
2024-01-07,F02,P014,44
2024-01-07,F02,P015,56
2024-01-07,F02,P016,16
2024-01-07,F02,P017,8
2024-01-07,F02,P018,17
2024-01-07,F02,P019,31
2024-01-07,F02,P020,54
2024-01-07,F02,P021,100
2024-01-07,F02,P022,47
2024-01-07,F02,P024,42
2024-01-07,F02,P026,4
2024-01-07,F02,P027,5
2024-01-07,F02,P028,30
2024-01-07,F02,P029,81
2024-01-07,F02,P031,52
2024-01-07,F02,P034,12
2024-01-07,F02,P035,26
2024-01-07,F02,P036,39
2024-01-07,F02,P037,12
2024-01-07,F02,P038,45
2024-01-07,F02,P040,13
2024-01-07,F02,P042,58
2024-01-07,F02,P043,51
2024-01-07,F02,P044,6
2024-01-07,F02,P045,3
2024-01-07,F02,P046,21
2024-01-07,F02,P047,55
2024-01-07,F02,P048,81
2024-01-07,F02,P050,49
2024-01-07,F02,P051,13
2024-01-07,F02,P052,31
2024-01-07,F02,P053,116
2024-01-07,F02,P054,115
2024-01-07,F02,P055,122
2024-01-07,F02,P056,26
2024-01-07,F02,P057,56
2024-01-07,F02,P058,4
2024-01-07,F02,P059,24
2024-01-07,F02,P060,94
2024-01-07,F02,P061,62
2024-01-07,F02,P062,13
2024-01-07,F02,P063,211
2024-01-07,F02,P064,54
2024-01-07,F02,P065,65
2024-01-07,F02,P068,40
2024-01-07,F02,P069,159
2024-01-07,F02,P070,135
2024-01-07,F02,P071,17
2024-01-07,F02,P075,31
2024-01-07,F02,P077,30
2024-01-07,F02,P079,109
2024-01-07,F02,P081,111
2024-01-07,F02,P082,20
2024-01-07,F02,P083,131
2024-01-07,F02,P084,37
2024-01-07,F02,P085,56
2024-01-07,F02,P086,22
2024-01-07,F02,P087,83
2024-01-07,F02,P088,58
2024-01-07,F02,P089,6
2024-01-07,F02,P091,56
2024-01-07,F02,P092,155
2024-01-07,F02,P093,63
2024-01-07,F02,P094,2
