ProductID,ProductName,Category,KGPerPallet,SalesUnit,KGPerSalesUnit,Price,COGS,ShelfLife
P001,Premium UHT Variant 1,UHT,500,Carton,10,14.94,13.21,180
P002,Premium Cheese Variant 2,Cheese,800,Carton,10,87.77,75.7,180
P003,Premium Cheese Variant 3,Cheese,1000,Carton,10,95.93,81.87,365
P004,Premium Powder Variant 4,Powder,500,Bag,25,269.67,217.9,365
P005,Premium Powder Variant 5,Powder,1000,Bag,25,279.84,236.88,730
P006,Premium Butter Variant 6,Butter,1000,Carton,10,62.47,53.69,90
P007,Premium Butter Variant 7,Butter,1000,Carton,10,69.03,60.28,90
P008,Premium Butter Variant 8,Butter,1000,Carton,10,45.13,40.21,90
P009,Premium Butter Variant 9,Butter,800,Carton,10,67.72,57.56,180
P010,Premium Cheese Variant 10,Cheese,800,Carton,10,92.7,74.7,180
P011,Premium Butter Variant 11,Butter,500,Carton,10,60.42,54.32,90
P012,Premium Butter Variant 12,Butter,1000,Carton,10,54.42,46.28,90
P013,Premium Cheese Variant 13,Cheese,1000,Carton,10,73.85,59.7,365
P014,Premium Cheese Variant 14,Cheese,800,Carton,10,82.97,71.68,365
P015,Premium Powder Variant 15,Powder,800,Bag,25,344.21,288.95,730
P016,Premium Powder Variant 16,Powder,800,Bag,25,368.41,297.79,730
P017,Premium Butter Variant 17,Butter,800,Carton,10,62.71,54.79,180
P018,Premium Cheese Variant 18,Cheese,800,Carton,10,72.24,62.51,180
P019,Premium Powder Variant 19,Powder,1000,Bag,25,371.11,310.8,365
P020,Premium UHT Variant 20,UHT,500,Carton,10,10.69,9.45,180
P021,Premium Butter Variant 21,Butter,800,Carton,10,54.3,48.37,90
P022,Premium UHT Variant 22,UHT,800,Carton,10,8.01,7.14,365
P023,Premium Cheese Variant 23,Cheese,500,Carton,10,98.33,77.7,90
P024,Premium Cheese Variant 24,Cheese,1000,Carton,10,85.81,74.02,365
P025,Premium Powder Variant 25,Powder,800,Bag,25,346.6,281.27,365
P026,Premium UHT Variant 26,UHT,1000,Carton,10,14.08,13.34,365
P027,Premium Cheese Variant 27,Cheese,500,Carton,10,98.31,80.81,365
P028,Premium Cheese Variant 28,Cheese,800,Carton,10,92.8,76.49,365
P029,Premium Cheese Variant 29,Cheese,500,Carton,10,79.62,67.87,180
P030,Premium Cheese Variant 30,Cheese,500,Carton,10,76.01,65.89,180
P031,Premium Powder Variant 31,Powder,1000,Bag,25,308.94,255.54,730
P032,Premium UHT Variant 32,UHT,800,Carton,10,9.43,8.35,365
P033,Premium Butter Variant 33,Butter,1000,Carton,10,56.34,49.39,90
P034,Premium Cheese Variant 34,Cheese,1000,Carton,10,93.9,76.01,180
P035,Premium Cheese Variant 35,Cheese,1000,Carton,10,75.56,62.43,180
P036,Premium Cheese Variant 36,Cheese,800,Carton,10,87.95,73.94,90
P037,Premium UHT Variant 37,UHT,800,Carton,10,9.58,8.54,365
P038,Premium Cheese Variant 38,Cheese,800,Carton,10,79.78,66.94,365
P039,Premium Butter Variant 39,Butter,500,Carton,10,48.74,42.56,180
