OrderID,FacilityID,ShipToID,Date,SalesVolume,ProductID,ShipToCountry,ActualPrice
SO000001,F04,ST0195,2025-08-10,147,P029,Italy,83.47
SO000002,F01,ST0181,2024-11-14,278,P071,Germany,9.0
SO000003,F03,ST0106,2024-09-01,59,P060,France,58.62
SO000004,F02,ST0206,2024-11-29,223,P051,Sweden,9.06
SO000005,F06,ST0216,2025-06-02,91,P033,Germany,56.89
SO000006,F04,ST0051,2025-01-02,451,P047,Italy,90.23
SO000007,F03,ST0111,2025-06-18,189,P083,Spain,59.77
SO000008,F03,ST0018,2025-01-07,296,P028,France,102.53
SO000009,F04,ST0138,2025-03-28,443,P057,Italy,13.41
SO000010,F03,ST0021,2025-03-29,168,P062,France,76.41
SO000011,F01,ST0147,2025-10-04,198,P033,Germany,60.25
SO000012,F03,ST0247,2024-08-19,156,P078,France,58.46
SO000013,F04,ST0142,2024-01-22,444,P098,Italy,13.47
SO000014,F04,ST0010,2025-01-11,19,P050,Italy,103.68
SO000015,F06,ST0035,2025-09-04,43,P070,Germany,59.87
SO000016,F03,ST0100,2025-09-01,37,P082,France,103.22
SO000017,F02,ST0223,2024-06-26,437,P054,Belgium,64.37
SO000018,F04,ST0176,2024-05-22,136,P013,Italy,67.83
SO000019,F03,ST0114,2025-07-25,63,P066,France,52.99
SO000020,F03,ST0201,2025-12-10,299,P039,France,53.49
SO000021,F03,ST0167,2024-11-23,420,P039,France,48.35
SO000022,F02,ST0117,2024-06-21,61,P096,Sweden,8.62
SO000023,F06,ST0029,2025-11-01,369,P021,Germany,61.51
SO000024,F03,ST0226,2024-10-18,484,P038,Belgium,76.02
SO000025,F01,ST0067,2024-12-23,435,P045,Germany,76.11
SO000026,F03,ST0084,2024-09-21,287,P095,France,90.07
SO000027,F01,ST0102,2024-01-13,351,P085,Germany,8.83
SO000028,F03,ST0130,2024-04-27,285,P090,France,50.82
SO000029,F06,ST0149,2024-07-07,58,P009,Sweden,70.24
SO000030,F02,ST0050,2024-04-24,421,P098,Sweden,12.07
SO000031,F06,ST0102,2024-06-18,125,P085,Germany,8.07
SO000032,F01,ST0066,2025-04-20,253,P010,Germany,92.29
SO000033,F03,ST0026,2024-04-03,363,P039,France,46.55
SO000034,F03,ST0014,2024-09-04,354,P045,France,86.63
SO000035,F04,ST0208,2025-05-10,343,P046,Italy,9.61
SO000036,F03,ST0014,2025-10-10,169,P045,France,86.71
SO000037,F06,ST0083,2025-06-04,292,P005,Germany,267.23
SO000038,F03,ST0174,2025-05-15,494,P066,France,49.89
SO000039,F06,ST0147,2025-04-15,70,P086,Germany,70.66
SO000040,F04,ST0250,2024-12-27,22,P051,Spain,8.89
SO000041,F04,ST0072,2025-09-10,390,P091,Italy,72.79
SO000042,F02,ST0044,2025-09-08,52,P065,Belgium,99.81
SO000043,F04,ST0221,2025-10-19,439,P029,Italy,85.73
SO000044,F04,ST0123,2024-11-11,178,P053,Spain,12.02
SO000045,F02,ST0075,2024-09-07,227,P075,Netherlands,9.63
SO000046,F03,ST0183,2025-04-14,208,P081,Belgium,85.19
SO000047,F06,ST0216,2024-11-26,355,P033,Germany,59.62
SO000048,F06,ST0137,2025-08-11,369,P058,Germany,85.67
SO000049,F04,ST0157,2025-04-21,438,P030,Italy,72.35
SO000050,F03,ST0100,2025-02-01,98,P004,France,300.9
SO000051,F01,ST0235,2025-03-22,130,P072,Germany,9.46
SO000052,F04,ST0202,2025-09-11,477,P031,Italy,317.43
SO000053,F03,ST0028,2024-08-05,288,P037,France,10.2
SO000054,F04,ST0176,2025-08-12,458,P012,Italy,51.06
SO000055,F02,ST0060,2024-09-21,191,P043,Netherlands,65.08
SO000056,F02,ST0140,2025-04-06,309,P093,Netherlands,94.08
SO000057,F01,ST0037,2024-06-28,151,P100,Germany,73.28
SO000058,F05,ST0013,2024-11-28,457,P087,Czech Republic,264.94
SO000059,F03,ST0036,2024-04-06,28,P078,France,52.81
SO000060,F06,ST0246,2025-05-24,353,P098,Germany,11.59
SO000061,F03,ST0008,2025-09-04,164,P043,France,77.95
SO000062,F04,ST0123,2025-09-04,370,P085,Spain,8.7
SO000063,F03,ST0145,2025-05-17,458,P052,France,12.33
SO000064,F06,ST0152,2024-09-16,154,P098,Germany,10.89
SO000065,F04,ST0091,2024-10-06,333,P057,Italy,15.28
SO000066,F01,ST0129,2024-08-17,325,P079,Germany,95.76
SO000067,F05,ST0192,2024-02-14,463,P043,Czech Republic,79.11
SO000068,F06,ST0057,2025-02-20,300,P089,Germany,65.73
SO000069,F05,ST0192,2025-11-19,68,P028,Czech Republic,105.88
SO000070,F03,ST0141,2024-01-15,60,P080,France,78.71
SO000071,F03,ST0241,2025-07-13,443,P006,France,62.83
SO000072,F02,ST0020,2024-03-28,411,P062,Sweden,74.14
SO000073,F04,ST0204,2024-11-17,155,P084,Spain,16.17
SO000074,F03,ST0007,2025-12-31,213,P008,France,49.72
SO000075,F02,ST0243,2024-03-06,236,P002,Netherlands,85.66
SO000076,F06,ST0029,2025-01-12,441,P028,Germany,101.44
SO000077,F03,ST0007,2025-04-01,97,P047,France,81.51
SO000078,F04,ST0188,2024-02-14,310,P040,Spain,12.66
SO000079,F02,ST0226,2024-03-01,87,P039,Belgium,42.18
SO000080,F03,ST0026,2024-12-12,477,P050,France,93.19
SO000081,F03,ST0046,2024-03-24,284,P008,France,46.65
SO000082,F06,ST0050,2025-02-25,227,P011,Sweden,62.12
SO000083,F01,ST0083,2024-01-29,462,P060,Germany,63.1
SO000084,F05,ST0077,2025-04-13,311,P092,Czech Republic,90.21
SO000085,F03,ST0043,2024-03-23,391,P054,France,60.93
SO000086,F04,ST0187,2024-09-18,59,P099,Italy,13.34
SO000087,F01,ST0064,2024-03-20,44,P006,Germany,65.28
SO000088,F03,ST0034,2024-02-03,429,P060,France,64.87
SO000089,F06,ST0159,2025-06-18,308,P048,Germany,13.5
SO000090,F03,ST0174,2025-01-21,194,P065,France,95.96
SO000091,F02,ST0074,2025-04-06,26,P022,Netherlands,7.08
SO000092,F01,ST0015,2025-06-23,455,P033,Germany,59.11
SO000093,F01,ST0108,2025-02-24,357,P047,Germany,91.57
SO000094,F05,ST0071,2025-04-29,86,P009,Czech Republic,66.3
SO000095,F05,ST0013,2024-09-12,215,P065,Czech Republic,102.36
SO000096,F02,ST0140,2025-02-05,284,P062,Netherlands,82.26
SO000097,F06,ST0220,2025-12-30,82,P087,Germany,236.23
SO000098,F04,ST0059,2024-12-27,243,P061,Spain,92.7
SO000099,F04,ST0187,2025-03-29,229,P006,Italy,66.17
SO000100,F05,ST0053,2024-11-16,379,P083,Czech Republic,54.84
SO000101,F04,ST0123,2025-10-30,57,P051,Spain,9.1
SO000102,F04,ST0208,2025-12-23,420,P047,Italy,81.04
SO000103,F03,ST0019,2024-04-20,273,P040,Spain,10.89
SO000104,F04,ST0072,2025-06-28,273,P091,Italy,69.5
SO000105,F02,ST0060,2024-08-15,10,P003,Netherlands,85.64
SO000106,F06,ST0057,2025-01-18,83,P044,Germany,68.21
SO000107,F03,ST0059,2024-01-27,195,P073,Spain,10.5
SO000108,F02,ST0200,2024-11-22,278,P062,Belgium,80.46
SO000109,F04,ST0094,2024-09-17,385,P079,Italy,86.88
SO000110,F03,ST0007,2025-04-17,28,P079,France,88.3
SO000111,F04,ST0229,2024-08-07,216,P034,Italy,94.48
SO000112,F03,ST0225,2024-07-05,76,P030,France,80.14
SO000113,F03,ST0046,2025-04-27,127,P020,France,10.95
SO000114,F04,ST0171,2025-04-15,112,P020,Italy,10.5
SO000115,F03,ST0085,2025-09-20,392,P076,France,72.93
SO000116,F03,ST0085,2024-06-19,310,P076,France,70.24
SO000117,F04,ST0203,2024-12-27,110,P051,Spain,9.39
SO000118,F03,ST0036,2024-08-07,303,P078,France,53.53
SO000119,F04,ST0058,2025-03-09,182,P016,Italy,347.33
SO000120,F05,ST0053,2024-12-18,322,P069,Czech Republic,50.31
SO000121,F03,ST0104,2024-08-19,385,P095,France,106.6
SO000122,F05,ST0013,2024-06-01,320,P032,Czech Republic,9.26
SO000123,F02,ST0074,2024-04-08,408,P092,Netherlands,83.6
SO000124,F03,ST0106,2024-05-24,264,P090,France,49.55
SO000125,F02,ST0075,2024-05-12,40,P075,Netherlands,9.11
SO000126,F03,ST0241,2025-07-26,387,P037,France,9.26
SO000127,F03,ST0004,2024-10-31,415,P012,France,59.05
SO000128,F06,ST0029,2025-08-22,333,P100,Germany,76.35
SO000129,F03,ST0226,2024-09-22,201,P009,Belgium,63.86
SO000130,F02,ST0050,2024-12-11,297,P023,Sweden,107.59
SO000131,F03,ST0038,2024-04-12,28,P032,Spain,8.63
SO000132,F03,ST0111,2024-12-23,183,P028,Spain,102.49
SO000133,F03,ST0063,2025-02-01,230,P018,France,77.3
SO000134,F04,ST0045,2024-06-09,331,P007,Italy,73.71
SO000135,F04,ST0250,2024-01-06,211,P034,Spain,98.52
SO000136,F02,ST0032,2024-03-26,366,P077,Sweden,79.95
SO000137,F03,ST0002,2025-09-23,217,P056,Spain,9.35
SO000138,F05,ST0192,2024-07-26,457,P022,Czech Republic,8.61
SO000139,F03,ST0223,2025-06-01,296,P076,Belgium,67.61
SO000140,F03,ST0004,2024-12-04,471,P073,France,11.19
SO000141,F06,ST0117,2025-06-10,286,P095,Sweden,87.91
SO000142,F02,ST0089,2024-10-18,266,P092,Belgium,99.87
SO000143,F01,ST0015,2025-05-21,16,P038,Germany,82.12
SO000144,F03,ST0086,2025-01-21,178,P079,Spain,100.73
SO000145,F03,ST0021,2024-10-11,280,P062,France,79.69
SO000146,F01,ST0129,2024-08-23,42,P009,Germany,70.0
SO000147,F04,ST0006,2024-04-14,104,P098,Italy,12.09
SO000148,F03,ST0001,2024-04-08,94,P067,France,58.37
SO000149,F04,ST0138,2025-04-25,428,P024,Italy,77.71
SO000150,F01,ST0132,2024-09-07,472,P002,Germany,89.1
SO000151,F04,ST0182,2024-01-13,114,P042,Italy,68.55
SO000152,F01,ST0133,2024-10-19,139,P075,Germany,9.84
SO000153,F03,ST0174,2024-12-01,346,P065,France,94.15
SO000154,F02,ST0060,2025-04-24,22,P057,Netherlands,11.87
SO000155,F04,ST0144,2025-04-16,270,P021,Italy,54.07
SO000156,F06,ST0097,2025-11-21,396,P024,Sweden,95.19
SO000157,F05,ST0192,2025-12-17,486,P046,Czech Republic,12.05
SO000158,F03,ST0114,2024-09-13,234,P078,France,51.41
SO000159,F03,ST0104,2024-11-05,163,P007,France,77.59
SO000160,F06,ST0116,2024-01-02,381,P096,Germany,10.67
SO000161,F06,ST0032,2025-11-07,433,P042,Sweden,78.72
SO000162,F01,ST0186,2024-02-24,436,P007,Germany,62.37
SO000163,F02,ST0087,2025-01-21,416,P047,Netherlands,88.71
SO000164,F03,ST0048,2024-08-06,84,P028,France,88.52
SO000165,F03,ST0203,2024-12-28,296,P037,Spain,10.45
SO000166,F03,ST0039,2025-10-19,60,P094,Spain,16.2
SO000167,F05,ST0248,2025-05-05,285,P024,Czech Republic,78.84
SO000168,F05,ST0192,2025-09-07,33,P063,Czech Republic,103.03
SO000169,F03,ST0240,2025-08-19,46,P067,France,58.04
SO000170,F06,ST0033,2025-06-30,307,P045,Germany,68.73
SO000171,F04,ST0171,2024-05-13,466,P053,Italy,10.72
SO000172,F04,ST0210,2024-12-20,142,P034,Italy,95.76
SO000173,F03,ST0090,2024-02-10,371,P053,France,10.57
SO000174,F01,ST0033,2024-03-08,61,P026,Germany,12.25
SO000175,F03,ST0043,2025-07-15,167,P054,France,61.26
SO000176,F03,ST0093,2025-11-14,242,P085,France,9.3
SO000177,F01,ST0047,2025-06-04,230,P097,Germany,233.26
SO000178,F04,ST0019,2024-11-20,38,P064,Spain,11.71
SO000179,F04,ST0138,2025-07-02,33,P084,Italy,14.27
SO000180,F04,ST0172,2025-09-06,125,P094,Italy,14.69
SO000181,F02,ST0055,2025-04-29,185,P042,Netherlands,71.59
SO000182,F04,ST0094,2025-10-03,266,P096,Italy,9.52
SO000183,F03,ST0021,2024-07-10,81,P027,France,98.45
SO000184,F03,ST0021,2024-06-23,358,P100,France,68.34
SO000185,F02,ST0044,2024-03-06,34,P053,Belgium,11.03
SO000186,F02,ST0074,2024-10-02,38,P092,Netherlands,92.36
SO000187,F06,ST0153,2025-04-11,480,P081,Germany,87.59
SO000188,F03,ST0247,2025-12-02,258,P059,France,102.91
