OriginID,OriginCity,OriginCountry,DestinationID,DestinationCity,DestinationCountry,DistanceKM,CostPerPallet,RouteType
F01,Wasserburg,Germany,CUSTOMER,Amsterdam,Netherlands,706.97,95.7,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Antwerp,Belgium,664.03,91.4,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Barcelona,Spain,1085.22,133.52,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Berlin,Germany,502.92,75.29,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Brno,Czech Republic,347.02,59.7,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Brussels,Belgium,648.53,89.85,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Frankfurt,Germany,344.61,59.46,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Ghent,Belgium,696.79,94.68,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Gothenburg,Sweden,1074.54,132.45,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Hamburg,Germany,629.53,87.95,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Liege,Belgium,558.57,80.86,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Lyon,France,617.56,86.76,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Madrid,Spain,1522.88,177.29,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Malmo,Sweden,841.57,109.16,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Marseille,France,752.67,100.27,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Milan,Italy,371.1,62.11,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Munich,Germany,48.26,29.83,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Naples,Italy,817.91,106.79,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Ostrava,Czech Republic,482.02,73.2,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Paris,France,733.25,98.33,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Plzen,Czech Republic,204.63,45.46,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Prague,Czech Republic,275.15,52.52,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Rome,Italy,685.35,93.53,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Rotterdam,Netherlands,700.95,95.09,Outbound to Customer
F01,Wasserburg,Germany,CUSTOMER,Seville,Spain,1895.16,214.52,Outbound to Customer
